"","Site_ID","Site_Name","Latitude","Longitude","Elevation","Sample_ID","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID"
"1","Misc_001","Detroit Airport",42.22,-83.36,193,"DetroitAirport_140402","Tap","2014-04-02 00:00:00",NA,"2014-04-02 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"2","Mexico_DF1","Mexico city airport",19.438782,-99.07656,NA,"DF1","Tap","",NA,"2013-05-14 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"3","Mexico_DF10","Coyoacan",19.34998,-99.1632,NA,"DF10","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"4","Mexico_DF2","Mexico city cathedral",19.485062,-99.117826,NA,"DF2","Tap","",NA,"2013-05-18 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"5","Mexico_DF9","Mexico city - casa de Abril ",19.303043,-99.179599,NA,"DF9","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"6","Mexico_GU1","Taxco - Zocolo ",18.556817,-99.605388,NA,"GU1","Tap","",NA,"2013-06-08 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"7","Mexico_GU2","Tasco gas station ",18.56,-99.58523,NA,"GU2","Tap","",NA,"2013-06-08 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"8","Mexico_HIL1","tulancingo",20.0805,-98.3695,NA,"HIL1","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"9","Mexico_MC1","patzcato-hotel encantada",19.512086,-101.609083,NA,"MC1","Tap","",NA,"2013-06-26 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"10","Mexico_MC13","Tzinzinzan ",19.629209,-101.57783,NA,"MC13","Tap","",NA,"",NA,"Liquid",NA,"""May be bottled water",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"11","Mexico_MC16","patzcuaro, michoacan",19.5347,-101.47,2156,"MC16","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"12","Mexico_MC17","Morelia, mich",19.7414,-101.1763,NA,"MC17","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"13","Mexico_MC18","micoacan",19.9024,-100.7911,NA,"MC18","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"14","Mexico_MC2","erongaricuaro",19.1815,-99.11,NA,"MC2","Tap","",NA,"2013-06-26 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"15","Mexico_MC3","Morelia, hotel casino ",19.703254,-101.193641,NA,"MC3","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"16","Mexico_MC5","Tzinzinzan site ",19.623388,-101.573582,NA,"MC5","Tap","",NA,"2013-06-25 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"17","Mexico_MC8","Quiroga, michoacan",19.6646,-101.5234,NA,"MC8","Tap","",NA,"2013-06-27 00:00:00",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"18","Mexico_MO1","Cuernavaca- rana sabia",18.923662,-99.237013,NA,"MO1","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
"19","Mexico_MO16","Cuernavaca casa de carlos ",18.969935,-99.207401,NA,"MO16","Tap","",NA,"",NA,"Liquid",NA,"",9999,9999,NA,9999,9999,NA,"SPATIAL",44
